id,unique_column_id,file_number,purpose,type,application_type,assignee,assignor,transferor,transferee,lessee,licensee,sublessee,call_sign,rsc,action_date,commencement_date,action,pdf_filename,report_number,d_o_r
279,0006906481-AA-WQZ691-2023-11-29-Z-18222-2023-12-06-,0006906481,AA,"Full Assignment","Assignment of License Authorization Applications and Transfer of Control of Licensee Application","I.O.U. Acquisitions","Note Acquisitions",NULL,NULL,NULL,NULL,NULL,WQZ691,CD,2023-11-29,00/00/0000,Z,NULL,18222,2023-12-06
280,0007666365-AA-WQHE711-2023-11-29-Z-18222-2023-12-06-,0007666365,AA,"Partitioning AND/OR Disaggregation","Assignment of License Authorization Applications and Transfer of Control of Licensee Application","Tennessee Department of Safety and Homeland Security","MOTOROLA SOLUTIONS, INC.",NULL,NULL,NULL,NULL,NULL,WQHE711,PC,2023-11-29,00/00/0000,Z,NULL,18222,2023-12-06
281,0008243524-AM-WQPZ423-2023-11-29-Z-18222-2023-12-06-,0008243524,AM,"Full Assignment","Assignment of License Authorization Applications and Transfer of Control of Licensee Application","COLUMBIA MISSOURI INVESTMENT CORP DBA COLUM","Evergreen Alliance Golf Limited",NULL,NULL,NULL,NULL,NULL,WQPZ423,IG,2023-11-29,00/00/0000,Z,NULL,18222,2023-12-06
282,0009099857-TC-WRBA298-2023-12-05-Q-18222-2023-12-06-,0009099857,TC,"Transfer of Control","Assignment of License Authorization Applications and Transfer of Control of Licensee Application",NULL,NULL,"DISH Network L.L.C.","DISH Orbital II L.L.C.",NULL,"Alta Wireless, Inc.",NULL,WRBA298,"LD, UU",2023-12-05,00/00/0000,Q,NULL,18222,2023-12-06
283,0009099920-TC-WQAW359-2023-12-05-Q-18222-2023-12-06-,0009099920,TC,"Transfer of Control","Assignment of License Authorization Applications and Transfer of Control of Licensee Application",NULL,NULL,"DISH Network L.L.C.","DISH Orbital II L.L.C.",NULL,"SOUTH.COM, LLC",NULL,WQAW359,DV,2023-12-05,00/00/0000,Q,NULL,18222,2023-12-06
284,0009100003-AA-WQAR700-2023-12-05-Q-18222-2023-12-06-,0009100003,AA,"Full Assignment","Assignment of License Authorization Applications and Transfer of Control of Licensee Application","DISH Orbital II L.L.C.","DISH Network L.L.C.",NULL,NULL,NULL,NULL,NULL,WQAR700,DV,2023-12-05,00/00/0000,Q,NULL,18222,2023-12-06
285,0010378730-AM-WPOI241-2023-11-29-Z-18222-2023-12-06-,0010378730,AM,"Full Assignment","Assignment of License Authorization Applications and Transfer of Control of Licensee Application","Vero Broadband, LLC","San Isabel Telecom, Inc. Debtor In Possession",NULL,NULL,NULL,NULL,NULL,WPOI241,"CF, CW, MG",2023-11-29,00/00/0000,Z,NULL,18222,2023-12-06
286,0010378808-AM-WQHY811-2023-11-29-Z-18222-2023-12-06-,0010378808,AM,"Full Assignment","Assignment of License Authorization Applications and Transfer of Control of Licensee Application","Vero Broadband, LLC","Brainstorm Internet, Inc. Debtor In Possession",NULL,NULL,NULL,NULL,NULL,WQHY811,"MG, MM",2023-11-29,00/00/0000,Z,NULL,18222,2023-12-06
287,0010447789-AM-WQYP785-2023-12-01-M-18222-2023-12-06-,0010447789,AM,"Full Assignment","Assignment of License Authorization Applications and Transfer of Control of Licensee Application","Wifinity, LLC","Aire Communications Group, Inc.",NULL,NULL,NULL,NULL,NULL,WQYP785,MG,2023-12-01,00/00/0000,M,NULL,18222,2023-12-06
288,0010519123-AM-WRTN527-2023-11-29-Z-18222-2023-12-06-,0010519123,AM,"Full Assignment","Assignment of License Authorization Applications and Transfer of Control of Licensee Application","Southwest Texas Electric Coop","J P Jenkins Inc dba South Plains Communications",NULL,NULL,NULL,NULL,NULL,WRTN527,MG,2023-11-29,00/00/0000,Z,NULL,18222,2023-12-06
289,0010530929-AA-WRCR569-2023-12-01-M-18222-2023-12-06-,0010530929,AA,"Partitioning AND/OR Disaggregation","Assignment of License Authorization Applications and Transfer of Control of Licensee Application","Infrastructure Networks Inc.","Flat Wireless, LLC",NULL,NULL,NULL,NULL,NULL,WRCR569,AW,2023-12-01,00/00/0000,M,NULL,18222,2023-12-06
290,0010538193-AA-WPKX365-2023-11-30-D-18222-2023-12-06-,0010538193,AA,"Full Assignment","Assignment of License Authorization Applications and Transfer of Control of Licensee Application","Viking Communications, Inc.","JSM Communications, Inc.",NULL,NULL,NULL,NULL,NULL,WPKX365,IG,2023-11-30,00/00/0000,D,NULL,18222,2023-12-06
291,0010569998-TC-WRFJ823-2023-12-01-M-18222-2023-12-06-,0010569998,TC,"Transfer of Control","Assignment of License Authorization Applications and Transfer of Control of Licensee Application",NULL,NULL,"The Farmers & Merchants Mutual Telephone Company of W","Communications Network, Inc.",NULL,"The Farmers & Merchants Mutual Telephone Company of W",NULL,WRFJ823,MG,2023-12-01,00/00/0000,M,NULL,18222,2023-12-06
292,0010632381-AA-WNC687-2023-12-01-M-18222-2023-12-06-,0010632381,AA,"Full Assignment","Assignment of License Authorization Applications and Transfer of Control of Licensee Application","SoniqWave Networks LLC","Santa Fe Community College",NULL,NULL,NULL,NULL,NULL,WNC687,ED,2023-12-01,00/00/0000,M,NULL,18222,2023-12-06
293,0010678295-AM-WQEC856-2023-11-30-M-18222-2023-12-06-,0010678295,AM,"Full Assignment","Assignment of License Authorization Applications and Transfer of Control of Licensee Application","Getgoing Infrastructure Group, LLC","Fox Valley Internet, Inc.",NULL,NULL,NULL,NULL,NULL,WQEC856,MG,2023-11-30,00/00/0000,M,NULL,18222,2023-12-06
294,0010699767-AM-KNCL958-2023-12-02-M-18222-2023-12-06-,0010699767,AM,"Transfer of Control","Assignment of License Authorization Applications and Transfer of Control of Licensee Application",NULL,NULL,"Solvay America, Inc.","Solvay Holding Inc.",NULL,"American Soda LLC",NULL,KNCL958,"IG, YI",2023-12-02,00/00/0000,M,NULL,18222,2023-12-06
295,0010699851-TC-WQBD780-2023-11-30-M-18222-2023-12-06-,0010699851,TC,"Transfer of Control","Assignment of License Authorization Applications and Transfer of Control of Licensee Application",NULL,NULL,"Solvay USA Inc.","Essential Chemicals USA, LLC",NULL,"Essential Elements USA, LLC",NULL,WQBD780,IG,2023-11-30,00/00/0000,M,NULL,18222,2023-12-06
296,0010699954-TC-WQBD780-2023-12-02-M-18222-2023-12-06-,0010699954,TC,"Transfer of Control","Assignment of License Authorization Applications and Transfer of Control of Licensee Application",NULL,NULL,"Solvay USA Inc.","Solvay Holding Inc.",NULL,"Essential Elements USA, LLC",NULL,WQBD780,IG,2023-12-02,00/00/0000,M,NULL,18222,2023-12-06
297,0010699957-TC-WRCC985-2023-12-02-M-18222-2023-12-06-,0010699957,TC,"Transfer of Control","Assignment of License Authorization Applications and Transfer of Control of Licensee Application",NULL,NULL,"Solvay USA Inc.","Solvay Holding Inc.",NULL,"Essential Chemicals USA, LLC",NULL,WRCC985,"IG, YG",2023-12-02,00/00/0000,M,NULL,18222,2023-12-06
298,0010702503-TC-WQTI994-2023-12-02-M-18222-2023-12-06-,0010702503,TC,"Transfer of Control","Assignment of License Authorization Applications and Transfer of Control of Licensee Application",NULL,NULL,"Solvay America, Inc.","Solvay Holding Inc.",NULL,"Solvay Chemicals, Inc.",NULL,WQTI994,IG,2023-12-02,00/00/0000,M,NULL,18222,2023-12-06
299,0010712408-AM-KAX885-2023-12-01-M-18222-2023-12-06-,0010712408,AM,"Full Assignment","Assignment of License Authorization Applications and Transfer of Control of Licensee Application","Eastlink Communications LLC","Lans Service Corporation",NULL,NULL,NULL,NULL,NULL,KAX885,"IG, YG",2023-12-01,00/00/0000,M,NULL,18222,2023-12-06
300,0010714374-AA-WQCP808-2023-11-30-C-18222-2023-12-06-,0010714374,AA,"Partitioning AND/OR Disaggregation","Assignment of License Authorization Applications and Transfer of Control of Licensee Application","Avangrid Networks, Inc.","Verde Systems LLC",NULL,NULL,NULL,NULL,NULL,WQCP808,PC,2023-11-30,00/00/0000,C,NULL,18222,2023-12-06
301,0010720866-AA-WRAR907-2023-11-28-M-18222-2023-12-06-,0010720866,AA,"Full Assignment","Assignment of License Authorization Applications and Transfer of Control of Licensee Application","Formentera Operations, LLC","Slant Operating, LLC",NULL,NULL,NULL,NULL,NULL,WRAR907,"IG, MG",2023-11-28,00/00/0000,M,NULL,18222,2023-12-06
302,0010750547-TC-WQBD780-2023-12-02-M-18222-2023-12-06-,0010750547,TC,"Transfer of Control","Assignment of License Authorization Applications and Transfer of Control of Licensee Application",NULL,NULL,"Solvay Holding Inc.","Solvay S.A.",NULL,"Essential Elements USA, LLC",NULL,WQBD780,IG,2023-12-02,00/00/0000,M,NULL,18222,2023-12-06
303,0010750554-TC-WRCC985-2023-12-02-M-18222-2023-12-06-,0010750554,TC,"Transfer of Control","Assignment of License Authorization Applications and Transfer of Control of Licensee Application",NULL,NULL,"Solvay Holding Inc.","Solvay S.A.",NULL,"Essential Chemicals USA, LLC",NULL,WRCC985,"IG, YG",2023-12-02,00/00/0000,M,NULL,18222,2023-12-06
304,0010750558-TC-WQTI994-2023-12-02-M-18222-2023-12-06-,0010750558,TC,"Transfer of Control","Assignment of License Authorization Applications and Transfer of Control of Licensee Application",NULL,NULL,"Solvay Holding Inc.","Solvay S.A.",NULL,"Solvay Chemicals, Inc.",NULL,WQTI994,IG,2023-12-02,00/00/0000,M,NULL,18222,2023-12-06
305,0010750563-TC-WQSX701-2023-12-02-M-18222-2023-12-06-,0010750563,TC,"Transfer of Control","Assignment of License Authorization Applications and Transfer of Control of Licensee Application",NULL,NULL,"Solvay Holding Inc.","Solvay S.A.",NULL,"American Soda LLC",NULL,WQSX701,"IG, YI",2023-12-02,00/00/0000,M,NULL,18222,2023-12-06
306,0010751146-AA-WQZQ253-2023-11-30-Z-18222-2023-12-06-,0010751146,AA,"Full Assignment","Assignment of License Authorization Applications and Transfer of Control of Licensee Application","Mutual Telephone Company of Sioux Center Iowa","Great Lakes Communication Corp.",NULL,NULL,NULL,NULL,NULL,WQZQ253,"MG, PL",2023-11-30,00/00/0000,Z,NULL,18222,2023-12-06
307,0010752996-AA-WNC422-2023-11-30-Z-18222-2023-12-06-,0010752996,AA,"Full Assignment","Assignment of License Authorization Applications and Transfer of Control of Licensee Application","WBSY Licensing, LLC","City University of Seattle",NULL,NULL,NULL,NULL,NULL,WNC422,ED,2023-11-30,00/00/0000,Z,NULL,18222,2023-12-06
308,0010753012-AA-WND529-2023-11-30-Z-18222-2023-12-06-,0010753012,AA,"Full Assignment","Assignment of License Authorization Applications and Transfer of Control of Licensee Application","Clearwire Spectrum Holdings III LLC","Florida Gateway College",NULL,NULL,NULL,NULL,NULL,WND529,ED,2023-11-30,00/00/0000,Z,NULL,18222,2023-12-06
309,0010753753-AA-KB94072-2023-11-27-C-18222-2023-12-06-,0010753753,AA,"Full Assignment","Assignment of License Authorization Applications and Transfer of Control of Licensee Application","Highnote Avaition","Lowe Aviation Co. Inc.",NULL,NULL,NULL,NULL,NULL,KB94072,"AF, IG",2023-11-27,00/00/0000,C,NULL,18222,2023-12-06
310,0010760340-AA-WQTS419-2023-11-30-M-18222-2023-12-06-,0010760340,AA,"Full Assignment","Assignment of License Authorization Applications and Transfer of Control of Licensee Application","Boca Hotel Owner, LLC","BB Hotel Owner JV LLC dba Waterstone Resort & Marina",NULL,NULL,NULL,NULL,NULL,WQTS419,IG,2023-11-30,00/00/0000,M,NULL,18222,2023-12-06
311,0010762942-AA-WRVJ937-2023-11-28-Z-18222-2023-12-06-,0010762942,AA,"Full Assignment","Assignment of License Authorization Applications and Transfer of Control of Licensee Application","SHAB Holdings, LLC","ZIRKEL Wireless, LLC",NULL,NULL,NULL,NULL,NULL,WRVJ937,ED,2023-11-28,00/00/0000,Z,NULL,18222,2023-12-06
312,0010766507-TC-KDS502-2023-11-30-Z-18222-2023-12-06-,0010766507,TC,"Transfer of Control","Assignment of License Authorization Applications and Transfer of Control of Licensee Application",NULL,NULL,"Horizon Acquisition Parent LLC","Shenandoah Telecommunications Company",NULL,"The Chillicothe Telephone Co.",NULL,KDS502,IG,2023-11-30,00/00/0000,Z,NULL,18222,2023-12-06
313,0010766993-TC-WQTC635-2023-11-30-C-18222-2023-12-06-,0010766993,TC,"Transfer of Control","Assignment of License Authorization Applications and Transfer of Control of Licensee Application",NULL,NULL,"ION Media Networks, Inc.","ION Media Stations, Inc.",NULL,"ION Television License, LLC",NULL,WQTC635,MG,2023-11-30,00/00/0000,C,NULL,18222,2023-12-06
314,0010767827-AA-WQVM487-2023-12-01-M-18222-2023-12-06-,0010767827,AA,"Full Assignment","Assignment of License Authorization Applications and Transfer of Control of Licensee Application","Evergreen Alliance Golf Limited","Champions Retreat",NULL,NULL,NULL,NULL,NULL,WQVM487,IG,2023-12-01,00/00/0000,M,NULL,18222,2023-12-06
315,0010768153-AA-WRCH476-2023-11-28-M-18222-2023-12-06-,0010768153,AA,"Full Assignment","Assignment of License Authorization Applications and Transfer of Control of Licensee Application","Northwest Pipeline LLC","Cureton Midstream, LLC",NULL,NULL,NULL,NULL,NULL,WRCH476,IG,2023-11-28,00/00/0000,M,NULL,18222,2023-12-06
316,0010768686-AA-WNFI229-2023-12-01-D-18222-2023-12-06-,0010768686,AA,"Full Assignment","Assignment of License Authorization Applications and Transfer of Control of Licensee Application","Davis, Brian","Clark Communications",NULL,NULL,NULL,NULL,NULL,WNFI229,"IG, YK",2023-12-01,00/00/0000,D,NULL,18222,2023-12-06
317,0010771329-TC-WQWA984-2023-12-01-D-18222-2023-12-06-,0010771329,TC,"Transfer of Control","Assignment of License Authorization Applications and Transfer of Control of Licensee Application",NULL,NULL,"Thedacare, Inc.","Froedtert Health",NULL,"Thedacare Medical Center - Shawano, Inc.",NULL,WQWA984,IG,2023-12-01,00/00/0000,D,NULL,18222,2023-12-06
318,0010774451-AA-WRZJ350-2023-11-28-C-18222-2023-12-06-,0010774451,AA,"Full Assignment","Assignment of License Authorization Applications and Transfer of Control of Licensee Application","Pye-Barker Fire & Safety, LLC","Alarmguard Security, Inc.",NULL,NULL,NULL,NULL,NULL,WRZJ350,IG,2023-11-28,00/00/0000,C,NULL,18222,2023-12-06
319,0010782076-AM-WQNH224-2023-11-29-C-18222-2023-12-06-,0010782076,AM,"Full Assignment","Assignment of License Authorization Applications and Transfer of Control of Licensee Application","Futronics Inc.","MSC Walbridge Coating Inc.",NULL,NULL,NULL,NULL,NULL,WQNH224,IG,2023-11-29,00/00/0000,C,NULL,18222,2023-12-06
320,0010782941-AM-WDI7898-2023-11-30-M-18222-2023-12-06-,0010782941,AM,"Full Assignment","Assignment of License Authorization Applications and Transfer of Control of Licensee Application","Seabulk Towing Services, Inc","Seabulk Towing, Inc",NULL,NULL,NULL,NULL,NULL,WDI7898,SB,2023-11-30,00/00/0000,M,NULL,18222,2023-12-06
321,0010785615-TC-WDL4107-2023-12-02-C-18222-2023-12-06-,0010785615,TC,"Transfer of Control","Assignment of License Authorization Applications and Transfer of Control of Licensee Application",NULL,NULL,"Petrik, Peter","MERCER, DAVID E",NULL,"Petrik, Peter",NULL,WDL4107,SA,2023-12-02,00/00/0000,C,NULL,18222,2023-12-06
